Name,Status,Type,Author,Notes
Narrative of the Life of Frederick Douglass,Want to read,biography,,
Incidents in the Life of a Slave Girl,Want to read,biography,,
Little House on the Prairie,Want to read,biography,,
The Road from Coorain,Want to read,biography,,
Black Boy,Want to read,biography,Richard Wright,
The Autobiography of Malcolm X,Want to read,biography,,
Hunger of Memory,Want to read,biography,,
The Year of Magical Thinking,Want to read,biography,,
Persepolis,Read,biography; comics,,
Maus,Read,biography; comics; history,,
LSD My Problem Child,Want to read,biography; drugs,Albert Hofmann,
The Man Who Knew Infinity: A Life of the Genius Ramanujan,Read,biography; math,,
My View of the World,Want to read,biography; philosophy,Schroedigner,
The Song of the Cell: An Exploration of Medicine and the New Human,Want to read,biology,,
A Guide to the Bodhisattva Way,Abandoned,buddhism,,
Roaring Silence,Read,buddhism,,
Entering the Heart of Sun and Moon,Reading,buddhism,,
Images of Enlightenment,Reference,buddhism,,
The Mind Illuminated,Reference,buddhism,Culadasa,
Why Buddhism Is True,Want to read,buddhism,Bachelor,
Worlds of Transformation,Reference,buddhism; art,,
Buddha,Read,buddhism; comics,,
Demian,Read,buddhism; fiction,Hesse,
Siddharta,Read,buddhism; fiction,,
The Art of Sexual Ecstasy,Read,buddhism; magic,,
Tao Te Ching,Read,buddhism; philosophy,,
Alone with Others,Read,buddhism; philosophy,,
The Internal Game of Tennis,Read,buddhism; psychology; sports,,
O Evangelho Segundo O Espiritismo,Read,christianity,Allan Kardec,
Violetas na Janela,Read,christianity,,
Livro dos Espíritos,Read,christianity,Allan Kardec,
O Grande Amigo de Deus,Read,christianity; fiction,Caldwell,
Servos de Deus,Read,christianity; fiction,Caldwell,
Medico de Homens e de Almas,Read,christianity; fiction,Caldwell,
Every Species is a Masterpiece,Read,climate,E. O. Wilson,
Regenesis: Feeding the World Without Devouring the Planet,Want to read,climate,,
All We Can Save: Truth; Courage and Solutions for the Climate Crisis,Want to read,climate,,
Complex Ecology,Want to read,climate; complex-systems,,
Pale Blue Dot,Read,climate; cosmos,,
Billions and Billions,Read,climate; philosophy,Carl Sagan,
What If,Want to read,comics; computer-science; cosmos; math; physics,Munroe,
Spawn ,Abandoned,comics; fiction,,
Heaven No Hell,Read,comics; fiction,Michael Deforge,
100 Bullets,Read,comics; fiction,,
Jerusalem,Read,comics; fiction,,
Batman: The Killing Joke,Read,comics; fiction,,
Batman: Year One,Read,comics; fiction,,
The Dark Knight Returns,Read,comics; fiction,,
Elektra Dead or Alive,Read,comics; fiction,,
Sin City,Read,comics; fiction,,
Ronin,Read,comics; fiction,Miller,
Vagabond,Read,comics; fiction,Takehiko Inoue,
The Walking Dead,Read,comics; fiction,Robert Kirkman,
Blade of the Immortal,Read,comics; fiction,Hiroaki Samura,
Crisis on Infinite Earths,Read,comics; fiction,,
300,Read,comics; fiction,,
Swamp Thing,Read,comics; fiction,,
Black Hole,Read,comics; fiction,,
Death Note,Read,comics; fiction,,
Scott Pilgrim,Read,comics; fiction,,
Y; The Last Man,Read,comics; fiction,,
Batman: Year One,Read,comics; fiction,,
Preacher,Read,comics; fiction,,
Sweet Tooth,Read,comics; fiction,,
Blankets,Read,comics; fiction,,
Transmetropolitan,Read,comics; fiction,,
Habibi,Read,comics; fiction,,
Conan of Cimmeria,Read,comics; fiction,Robert E. Howard,
Sandman Series,Read,comics; fiction,,
Watchmen Series,Read,comics; fiction,,
Ghost in the Shell,Want to read,comics; fiction,,
Akira,Want to read,comics; fiction,,
The World of Eden,Want to read,comics; fiction,Moebius,
The Incal,Want to read,comics; fiction,Jodorowsky,
When the Wind Blows,Want to read,comics; fiction,Raymond Briggs,
Complexity: A Guided Tour,Reading,complex-systems,,
In a Flight of Starlings,Abandoned,complex-systems; biography,,
The Theory of Complex Systems,Reference,complex-systems; computer-science; math,,
Cellular Automata And Complexity: Collected Papers,Reference,complex-systems; computer-science; math; systems-theory,Wolfram,
Making Things Work: Solving Complex Problems in a Complex World,Read,complex-systems; coordination,Yaneer Bar-Yam,
Complex Population Dynamics: A Theoretical/Empirical Synthesis,Want to read,complex-systems; coordination,Peter Turchin,
Systems Thinking for Social Change,Want to read,complex-systems; coordination,,
Out of Control,Want to read,complex-systems; coordination; psychology,Kevin Kelly,
Grokking Deep Learning,Abandoned,computer-science,,
Structure and Interpretation of Computer Programs,Abandoned,computer-science,,
Clean Code: A Handbook of Agile Software Craftsmanship,Abandoned,computer-science,,
Mastering Python High Performance,Read,computer-science,Fernando Doglio,
Python High Performance,Read,computer-science,Gabriele Lanaro,
Effective Python: 90 Specific Ways to Write Better Python,Read,computer-science,,
A Philosophy of Software Design,Read,computer-science,,
Developer Hegemony,Read,computer-science,,
C++: How to Program,Read,computer-science,Deitel,
C++ for Programmers,Read,computer-science,Deitel,
Algoritmos e Estrutura de Dados,Read,computer-science,Ziviani,
Clean Architecture,Read,computer-science,,
Surveillance Capitalism,Read,computer-science,,
Architecture Patterns With Python,Reference,computer-science,,
Robust Python,Reference,computer-science,,
Machine Learning: A Probabilistic Perspective,Reference,computer-science,Kevin Murphy,
Deep Learning,Reference,computer-science,,
The Rust Programming Language,Reference,computer-science,,
Algorithms,Reference,computer-science,Sedwick,
Essential TypeScript,Reference,computer-science,Adam Freeman,
Effective Modern C++,Reference,computer-science,Meyers,
Introduction to Algorithms,Reference,computer-science,Cormen,
Web Assembly the Definitive Guide,Reference,computer-science,,
Fluent Python,Reference,computer-science,,
Test Driven Development ,Reference,computer-science,Kant Beck,
Hands-On Machine Learning with Scikit-Learn and TensorFlow,Reference,computer-science,,
The Essence of Software,Want to read,computer-science,Daniel Jackson,
Refactoring,Want to read,computer-science,Martin Fowler,
The Pragmatic Programmer: From Journeyman to Master,Want to read,computer-science,Andy Hunt; Dave Thomas,
Artificial Intelligence: A Modern Approach,Want to read,computer-science,Russel Norvig,
Staff Engineer: Leadership Beyond the Management Track,Want to read,computer-science,Will Larson,
Code,Want to read,computer-science,Charles Petzold,
Web Assembly in Action,Want to read,computer-science,,
Compilers: Principles Techniques and Tools,Want to read,computer-science,,
Waltzing With Bears: Managing Risk on Software Projects,Want to read,computer-science,,
The Alignment Problem Machine Learning and Human Values,Want to read,computer-science; coordination,,
Code: Version 2.0,Want to read,computer-science; coordination,,
Curl,Want to read,computer-science; coordination,Guy that made curl,
The Revolt of The Public and the Crisis of Authority in the New Millennium,Want to read,computer-science; coordination,Martin Gurri Arnold Kling,
The Stack: On Software and Sovereignty ,Want to read,computer-science; coordination,,
Democracy in the Information Age,Want to read,computer-science; coordination,Elaine Kamarck; Joseph Nye,
Accelerating Democracy: Transforming Governance Through Technology,Want to read,computer-science; coordination,,
@ is for Activism: Dissent Resistance and Rebellion in a Digital Culture,Want to read,computer-science; coordination,,
#Republic: Divided Democracy in the Age of Social Media,Want to read,computer-science; coordination,Sunstein,
The Crowdfunding Revolution: Social Networking Meets Venture Financing,Want to read,computer-science; coordination; economics,Lawton Marom,
Abolish Silicon Valley,Want to read,computer-science; coordination; economics,,
A World Without Work,Want to read,computer-science; coordination; economics,,
Active Measures,Want to read,computer-science; disinformation,,
Geekonomics: The Real Cost of Insecure Software,Want to read,computer-science; economics; info-sec,,
Mindstorms: Children Computers And Powerful Ideas,Read,computer-science; education,,
A Madman Dreams of Turing Machines,Want to read,computer-science; history,,
A Computer Called Leo,Want to read,computer-science; history,,
A Brief History of the Future: From Radio Days to Internet Years in a Lifetime,Want to read,computer-science; history,,
A Brief History of Computing,Want to read,computer-science; history,,
@War: The Rise of the Military-Internet Complex,Want to read,computer-science; history,,
Quantum Computing Since Democritus,Want to read,computer-science; history; math; physics,Scott Aaronson,
Think Bayes,Abandoned,computer-science; math,,
A New Kind of Science,Reference,computer-science; math,Wolfram,
The Nature of Computation,Want to read,computer-science; math,,
An Introduction to Statistical Learning: With Applications in R,Want to read,computer-science; math,,
Gödel Escher Bach: An Eternal Golden Braid,Want to read,computer-science; math,,
Computers and Intractability: A Guide to the Theory of NP-Completeness,Want to read,computer-science; math,,
The Book of Why,Read,computer-science; math; philosophy,Judea Pearl ,
Cellular Automata and Complexity,Reference,computer-science; math; systems-theory,Wolfram,
Principles of Computational Modelling in Neuroscience,Want to read,computer-science; neuroscience,,
Fundamentals of Computational Neuroscience,Want to read,computer-science; neuroscience,Trappenberg,
The Computer and the Brain,Want to read,computer-science; neuroscience; systems-theory,Von Neumann,
The Art of Community,Read,computer-science; open-source,Bacon,
Working in Public,Read,computer-science; open-source; questionable-research,,
Invisible Women,Abandoned,computer-science; philosophy,,
Hackers & Painters: Big Ideas from the Computer Age,Want to read,computer-science; philosophy,Paul Graham,
A Gift of Fire: Social Legal and Ethical Issues for Computing Technology,Want to read,computer-science; philosophy,,
A Dangerous Master: How to Keep Technology from Slipping Beyond Our Control,Want to read,computer-science; philosophy,,
A Crowd of One: The Future of Individual Identity,Want to read,computer-science; philosophy; psychology,,
Algorithms to Live By,Want to read,computer-science; psychology,,
The Conscious Mind: In Search of a Fundamental Theory,Want to read,consciousness,David Chalmers,
The Elephant in the Brain,Want to read,consciousness,,
Utopia,Read,coordination,Thomas More,
Which Side Are You On?,Reading,coordination,Thomas Geoghegan,
End Times: Elites Counter-Elites and the Path of Political Disintegration,Want to read,coordination,Peter Turchin,
Where There Is No Government,Want to read,coordination,Joireman,
Patterns of Democracy,Want to read,coordination,Arend Lijphart,
The Death and Life of Great American Cities,Want to read,coordination,,
Governing the Commons,Want to read,coordination,Elinor Ostrom,
Systems Thinking for Social Change,Want to read,coordination,,
Regenerative Leadership,Want to read,coordination,Giles Hutchins & Laura Storm,
The Handbook for Radical Local Democracy,Read,coordination; economics,,
Poor Economics,Read,coordination; economics,Abhijit Banerjee; Esther Duflo,
Postcapitalism,Reading,coordination; economics,,
The End of Poverty,Want to read,coordination; economics,Sach,
How the World Really Works,Want to read,coordination; economics,Vaclav Smil,
Controlling Corruption,Want to read,coordination; economics,,
The Origins of Political Order,Reading,coordination; economics; history,Fukuyama,
The Great Transformation,Want to read,coordination; economics; history,Karl Polanyi,
Knowledge And Decisions,Want to read,coordination; economics; philosophy,Thomas Sowell,
The Myth of the Rational Voter: Why Democracies Choose Bad Policies,Want to read,coordination; economics; psychology,Bryan Caplan,
Greenpilled,Read,coordination; economics; questionable-research,,
Another Now: Dispatches from an Alternative Present,Want to read,coordination; fiction,Yanis Varoufakis,Kind of like Postcapitalism but better(?)
Collapse: How Societies Choose to Fail or Succeed ,Want to read,coordination; history,Jared Diamond,
Our Political Nature: The Evolutionary Origins of What Divides Us,Want to read,coordination; history; psychology,Avi Tuschman,
Producing Open Source Software,Read,coordination; open-source,Karl Fogel,
The Digital Party,Reading,coordination; open-source,,
Open Development: Networked Innovations in International Development,Want to read,coordination; open-source,,
The Prince,Read,coordination; philosophy,,
Why We're Polarized,Want to read,coordination; philosophy,Ezra Klein,
Superforcasting,Abandoned,coordination; psychology,,
Vier Tage Woche,Read,coordination; psychology,,
The Pragmatist's Guide to Governance,Reading,coordination; questionable-research,,
Antifragile,Reading,coordination; questionable-research,,
Thinking in Systems,Reading,coordination; systems-theory,Donella Meadows,
How to Make an Apple Pie from Scratch: In Search of the Recipe for Our Universe,Want to read,cosmos; physics,Harry Cliff,
Pihkal: A Chemical Love Story,Reading,drugs,,
The Doors of Perception,Read,drugs; philosophy,Albert Hofmann,
The Relevance of the Communist Manifesto,Abandoned,economics,Žižek,
Debt,Read,economics,,
Who Rules the World,Read,economics,,
Manufacturing Consent,Read,economics,,
The Persistency of Poverty ,Want to read,economics,,
The New Economics: A Manifesto,Want to read,economics,Steve Keen,
Mission Economy,Want to read,economics,Mariana Mazzucato,
Everything for Everyone,Want to read,economics,,
Ours to Hack and to Own,Want to read,economics,Schneider,
Good Capitalism; Bad Capitalism; and the Economics of Growth and Prosperity,Want to read,economics,,
Basic Economics: A Common Sense Guide to the Economy,Want to read,economics,,
On Classical Economics,Want to read,economics,Thomas Sowell,
The Times Complete History of the World,Want to read,economics,Richard Overy,
The Thank You Economy,Want to read,economics,,
Doing Economics: A Guide to Understanding and Carrying Out Economic Research,Want to read,economics,,
How Markets Fail: The Logic of Economic Calamities,Want to read,economics,,
The Trouble with Markets: Saving Capitalism from Itself,Want to read,economics,,
Capitalism Socialism and Democracy,Want to read,economics,,
Building a Sustainable and Desirable Economy-in-Society-in-Nature,Want to read,economics,,
Understanding Capital: Marx's Economic Theory,Want to read,economics,,
Grassroots and Nonprofit Leadership: A Guide for Organizations in Changing Times,Want to read,economics,,
Imperialism in the Twenty-First Century: Globalization Super-Exploitation and Capitalism's Final Crisis,Want to read,economics,,
Rethinking Money: How New Currencies Turn Scarcity into Prosperity,Want to read,economics,,
The Looting Machine: Warlords Oligarchs Corporations Smugglers and the Theft of Africa's Wealth,Want to read,economics,,
Inequality: What Can Be Done?,Want to read,economics,,
Politics Is for Power: How to Move Beyond Political Hobbyism Take Action and Make Real Change,Want to read,economics,,
Small Is Beautiful: Economics as if People Mattered,Want to read,economics,,
Common Wealth: Economics for a Crowded Planet,Want to read,economics,,
Social Justice Handbook: Small Steps for a Better World,Want to read,economics,,
The Local Economy Solution,Want to read,economics,,
Beyond Growth: The Economics of Sustainable Development,Want to read,economics,,
The Good Society: The Humane Agenda,Want to read,economics,,
Local Is Our Future: Steps to an Economics of Happiness,Want to read,economics,,
Moral Politics: How Liberals and Conservatives Think,Want to read,economics,,
Social Entrepreneurship: What Everyone Needs to Know,Want to read,economics,,
Manifesto of the Free People's Union,Want to read,economics,,
Cities and the Wealth of Nations,Want to read,economics,,
Wikinomics: How Mass Collaboration Changes Everything,Want to read,economics,,
Creating a Learning Society: A New Approach to Growth Development and Social Progress,Want to read,economics,,
The Wealth of Nations/The Theory of Moral Sentiments,Want to read,economics,,
Merchants of Doub,Want to read,economics,,
You Can't Be Neutral on a Moving Train: A Personal History of Our Times,Want to read,economics,,
The Origin of Wealth,Reading,economics,,
Why Nations Fail,Want to read,economics,Daron Acemoglu and James A. Robinson,
Utopia for Realists: And How We Can Get There,Read,economics,Rutger Bregman,
Poverty by America,Read,economics,Matthew Desmond,
The Case Against Education: Why the Education System Is a Waste of Time and Money,Want to read,economics; education,Bryan Caplan,
Atlas Shrugged,Want to read,economics; fiction,Ayn Rand,
Analyzing Politics,Want to read,economics; game-theory, Kenneth A Shepsle,
Capital and Ideology ,Reading,economics; history,Piketty ,
Understanding Power: The Indispensable Chomsky,Want to read,economics; history,,
Doughnut Economics,Reading,economics; history; questionable-research,,
Sacred Economics,Stalled,economics; magic,,
The Wealth of Networks,Read,economics; open-source,,
The Wisdom of Crowds,Want to read,economics; psychology,James Surowiecki,
Nudge,Want to read,economics; questionable-research,Sunstein,
The Tipping Point: How Little Things Can Make a Big Difference,Want to read,economics; questionable-research,Malcolm Gladwell,
Blind Spots: Why We Fail to Do What's Right and What to Do about It,Want to read,economics; questionable-research,,
Animal Spirits: How Human Psychology Drives the Economy and Why It Matters for Global Capitalism,Want to read,economics; questionable-research,,
Enlightenment Now,Abandoned,economics; questionable-research,Steven Pinker,
Seven Complex Lessons in Education for the Future,Want to read,education,Edgar Morin,
Pedagogy of Freedom,Want to read,education,Paulo Freire,
Pedagogia do Oprimido,Want to read,education,Paulo Freire,
How to Solve It: A New Aspect of Mathematical Method,Reading,education; math,Polya,
How We Learn: The New Science of Education and the Brain,Want to read,education; neuroscience,,
The Well Educated Mind,Read,education; questionable-research,Susan Wise Bauer,
Power Sex Suicide: Mitochondria and the Meaning of Life,Want to read,evolution,Nick Lane,
The Selfish Gene,Want to read,evolution,Dawkins,
Consilience,Want to read,evolution,E. O. Wilson,
The Origins of Species,Want to read,evolution,,
The Machinery of Life,Want to read,evolution; biology,David S. Goodsell,
Evolution and the Theory of Games,Want to read,evolution; math; systems-theory,John Maynard Smith,
A History of the Human Brain: From the Sea Sponge to CRISPR; How Our Brain Evolved,Want to read,evolution; neuroscience,Bret Stekta,
By the River Piedra I Sat Down and Wept,Abandoned,fiction,,
Sharpe's Prey,Abandoned,fiction,,
Saxon Stories: Sword Song,Abandoned,fiction,,
Harry Potter e o Calice de Fogo,Abandoned,fiction,,
The Adventures of Sherlock Holmes,Abandoned,fiction,,
Game of Thrones,Abandoned,fiction,,
Gone with the Wind,Abandoned,fiction,,
The Chronicles of Narnia,Abandoned,fiction,,
The Name of the Rose,Abandoned,fiction,,
The Trial,Abandoned,fiction,,
The Count of Monte Cristo,Abandoned,fiction,,
Don Quixote,Abandoned,fiction,,
Invisible Man,Abandoned,fiction,,
O Tempo e o Vento,Abandoned,fiction,,
Lucíola,Abandoned,fiction,,
The Brothers Karamazov,Reading,fiction,,
The Invisible Man,Abandoned,fiction,Ralph Ellinson,
The Silmarillon,Abandoned,fiction,,
The Man in the High Castle,Read,fiction,,
Maktub,Read,fiction,,
Brida,Read,fiction,,
Memorias de Emilia,Read,fiction,,
Tonico e Carnica,Read,fiction,,
Garra de Campeão,Read,fiction,,
Comedias para Se Ler na Escola,Read,fiction,Verissimo,
Sozinha no Mundo,Read,fiction,,
O Menino do Dedo Verde,Read,fiction,,
A Ilha Perdida,Read,fiction,,
O Escaravelho do Diabo,Read,fiction,,
As Aventuras de Xisto,Read,fiction,,
The Sorcerer of the North,Read,fiction,,
The Battle for Skandia,Read,fiction,,
The Icebound Land,Read,fiction,,
The Burning Bridge,Read,fiction,,
The Ruins of Gorlan,Read,fiction,,
Sharpe's Fortress,Read,fiction,,
Sharpe’s Triumph,Read,fiction,,
Sharpe’s Tiger,Read,fiction,,
Saxon Stories: The Lords of the North,Read,fiction,,
Saxon Stories: The Pale Horseman,Read,fiction,,
Saxon Stories: The Last Kingdom,Read,fiction,,
Roverandom,Read,fiction,Tolkien,
The Idiot,Read,fiction,Dostoevsky,
Overstory,Read,fiction,Richard Powers,
Os Sete Gatinhos,Read,fiction,Nelson Rodrigues,
Não Se Pode Amar e Ser Feliz ao Mesmo Tempo,Read,fiction,Nelson Rodrigues,
A Vida Como Ela É,Read,fiction,Nelson Rodrigues,
Poliana Moça,Read,fiction,,
Poliana,Read,fiction,,
A Series of Unfortunate Events,Read,fiction,,
The Arabian Nights,Read,fiction,,
The Lost Symbol,Read,fiction,,
The Ring of the Nibelung,Read,fiction,,
Beowulf,Read,fiction,,
Hamlet,Read,fiction,,
The Three Musketeers,Read,fiction,,
Wuthering Heights,Read,fiction,,
O Cortiço,Read,fiction,,
O Homem de Cabeça de Papelão,Read,fiction,,
The Archer's Tale,Read,fiction,Bernard Cornwell,
The Old Man and the Sea,Read,fiction,,
The Call of Cthulhu,Read,fiction,,
Necronomicon,Read,fiction,,
The Mists of Avalon,Read,fiction,,
Running With Wolves,Read,fiction,,
Faust,Read,fiction,,
The Sorrows of Young Werther,Read,fiction,,
Romeo and Juliet,Read,fiction,,
The Little Prince,Read,fiction,,
The Wise Man's Fear,Read,fiction,,
Ranger's Apprentice Series,Read,fiction,,
Name of the Wind,Read,fiction,,
At the Mountains of Madness,Read,fiction,Lovecraft,
Eragon,Read,fiction,,
Harry Potter e o Prisioneiro de Azkaban,Read,fiction,,
Harry Potter e a Camara Secre,Read,fiction,,
Harry Potter e a Pedra Filosofal,Read,fiction,,
Gulliver's Travels,Read,fiction,,
Digital Fortress,Read,fiction,,
Angels and Demons,Read,fiction,,
Da Vinci Code,Read,fiction,,
A Sala De Âmbar,Read,fiction,,
The Sun Also Rises,Read,fiction,,
The Death of Ivan Ilych,Read,fiction,,
Kholstomer,Read,fiction,Tolstoi,
Fight Club,Read,fiction,Bukowski,
The Hobbit,Read,fiction,Tolkien,
Breaking Dawn,Read,fiction,,
Twilight Saga,Read,fiction,,
Dracula,Read,fiction,,
Pride and Prejudice,Read,fiction,Jane Austen,
The Sky is Falling,Read,fiction,Sydney Sheldon,
The Pilgrimage,Read,fiction,Paulo Coelho,
If Tomorrow Comes,Read,fiction,Sydney Sheldon,
Memories of Midnight,Read,fiction,Sydney Sheldon,
A Strange in the Mirror,Read,fiction,Sydney Sheldon,
Carrie,Read,fiction,Stephan King,
À Espera de um Milagre,Read,fiction,Stephan King,
The Shining,Read,fiction,Stephan King,
The Earth is the Lord's,Read,fiction,Caldwell,
The Valley of Horses,Read,fiction,,
The Clan of the Cave Bear,Read,fiction,,
Inferno,Read,fiction,,
Ensaion Sobre a Lucidez,Read,fiction,,
Animal Farm,Read,fiction,Orwell,
The Catcher in the Rye,Read,fiction,Paulo Coelho,
Veronika Decide Morrer,Read,fiction,,
Metamorphosis,Read,fiction,Paulo Coelho,
O Alquimista,Read,fiction,Paulo Coelho,
Estrela da Manhã,Read,fiction,Lispector,
Memórias de um Sargento de Milícia,Read,fiction,,
São Bernardo,Read,fiction,Graciliano Ramos,
Vidas Secas,Read,fiction,Graciliano Ramos,
Noite na Taverna,Read,fiction,Alvares de Azevedo,
Morte e Vida Severina,Read,fiction,,
Grande Sertão Veredas,Read,fiction,,
A Paixão Segundo G.H,Read,fiction,,
Uma Aprendizagem ou O Livro dos Prazeres,Read,fiction,,
A Hora da Estrela,Read,fiction,,
The Death of Ivan Illych,Read,fiction,,
Dead Souls,Read,fiction,Gogol,
O Fazedor de Velhos,Read,fiction,,
Lord of the Flies,Read,fiction,,
O Cortiço,Read,fiction,,
Memórias Póstumas de Brás Cubas,Read,fiction,,
Alice’s Adventures in Wonderland,Read,fiction,,
Moreninha,Read,fiction,,
The Picture of Dorian Gray,Read,fiction,,
Dracula,Read,fiction,,
Iracema,Read,fiction,,
Triste Fim de Policarpo Quaresma,Read,fiction,,
Nine Princess in Amber,Read,fiction,,
Lord of the Rings,Read,fiction,,
Ficciones,Stalled,fiction,Jorge Luis Borges,
Der Mann mit der Ledertasche,Stalled,fiction,Bukowski,
Crime and Punishment,Stalled,fiction,,
The Plague,Stalled,fiction,,
War and Peace,Stalled,fiction,,
Anna Karenina,Stalled,fiction,,
Gilead,Want to read,fiction,,
The Call of Cthulhu and Other Weird Stories,Read,fiction,,
The Ballad of Black Tom,Want to read,fiction,,
I Wonder What Human Flesh Tastes Like,Want to read,fiction,,
Jade City,Want to read,fiction,Fonda Lee,
Mistborn,Want to read,fiction,Brandon Sanderson,
Another Now: Dispatches from an Alternative Present,Want to read,fiction,Yanis Varoufakis,
Foucault's Pendulum,Want to read,fiction,Umberto Eco,
The Grail Quest,Want to read,fiction,Bernard Cornwell,
Into the Wild,Want to read,fiction,,
The Sound and Fury,Want to read,fiction,,
Howl’s Moving Castle,Want to read,fiction,,
David Copperfield,Want to read,fiction,,
Oliver Twist,Want to read,fiction,,
The Call of the Wild,Want to read,fiction,,
And Then There Were None,Want to read,fiction,,
The Girl With the Dragon Tattoo,Want to read,fiction,,
Dungeon Crawler Karl,Want to read,fiction,,
A Wizard of Earthsea Rimbaud,Want to read,fiction,,
Lolita,Want to read,fiction,Vladimir Nabokov,
Man’s Search for Meaning,Want to read,fiction,Viktor Frankl,
Waves,Want to read,fiction,Virginia Woolf,
Mrs Dalloway,Want to read,fiction,Virginia Woolf,
The Decameron,Want to read,fiction,Boccaccio,
O Guarani,Want to read,fiction,,
O Ateneu,Want to read,fiction,,
Sagarana,Want to read,fiction,,
The Gambler,Want to read,fiction,Dostoevsky,
Moby Dick,Want to read,fiction,,
Infinite Jest,Reading,fiction,David Foster Wallace,
Don Quixote,Want to read,fiction,,
The Return of the Native,Want to read,fiction,,
Madame Bovary,Want to read,fiction,,
Huckleberry Finn,Want to read,fiction,,
